"調査年","地域","/項目","A4101_出生数【人】","A4200_死亡数【人】","A9101_婚姻件数【組】","A9201_離婚件数【組】"
"2010年度","兵庫県 川西市","","1,198","1,269","637","273"
"2010年度","兵庫県 小野市","","422","457","225","80"
"2010年度","兵庫県 三田市","","800","715","436","159"
"2010年度","兵庫県 加西市","","294","549","201","67"
"2010年度","兵庫県 篠山市","","301","589","180","69"
"2010年度","兵庫県 養父市","","189","399","104","24"
"2010年度","兵庫県 丹波市","","533","877","327","105"
"2010年度","兵庫県 南あわじ市","","382","684","212","88"
"2010年度","兵庫県 朝来市","","248","430","167","55"
"2010年度","兵庫県 淡路市","","292","752","207","60"
"2010年度","兵庫県 宍粟市","","297","548","166","50"
"2010年度","兵庫県 加東市","","368","361","199","57"
"2010年度","兵庫県 たつの市","","633","856","375","106"
"2010年度","兵庫県 猪名川町","","234","222","85","51"
"2010年度","兵庫県 多可町","","138","311","83","29"
"2010年度","兵庫県 稲美町","","188","284","126","57"
"2010年度","兵庫県 播磨町","","291","269","191","73"
"2010年度","兵庫県 市川町","","64","180","48","19"
"2010年度","兵庫県 福崎町","","166","225","79","32"
"2010年度","兵庫県 神河町","","76","155","38","14"
"2010年度","兵庫県 太子町","","380","242","178","61"
"2010年度","兵庫県 上郡町","","91","244","72","22"
"2010年度","兵庫県 佐用町","","98","286","76","28"
"2010年度","兵庫県 香美町","","133","295","70","30"
"2010年度","兵庫県 新温泉町","","102","217","51","16"
"2009年度","兵庫県 神戸市 東灘区","","1,873","1,427","1,267","445"
"2009年度","兵庫県 神戸市 灘区","","1,133","1,140","872","250"
"2009年度","兵庫県 神戸市 兵庫区","","884","1,325","757","259"
"2009年度","兵庫県 神戸市 長田区","","749","1,294","620","259"
"2009年度","兵庫県 神戸市 須磨区","","1,330","1,465","861","317"
"2009年度","兵庫県 神戸市 垂水区","","1,929","1,945","1,155","433"
"2009年度","兵庫県 神戸市 北区","","1,780","1,767","1,013","445"
"2009年度","兵庫県 神戸市 中央区","","907","1,125","953","277"
"2009年度","兵庫県 神戸市 西区","","2,146","1,659","1,199","491"
"2009年度","兵庫県 姫路市","","4,904","4,668","2,966","1,118"
"2009年度","兵庫県 尼崎市","","4,131","4,128","3,172","1,074"
"2009年度","兵庫県 明石市","","2,760","2,430","1,683","619"
"2009年度","兵庫県 西宮市","","4,652","3,332","2,850","895"
"2009年度","兵庫県 洲本市","","353","587","240","82"
"2009年度","兵庫県 芦屋市","","805","758","482","177"
"2009年度","兵庫県 伊丹市","","1,893","1,393","1,155","423"
"2009年度","兵庫県 相生市","","216","377","147","58"
"2009年度","兵庫県 豊岡市","","717","993","431","141"
"2009年度","兵庫県 加古川市","","2,390","2,013","1,486","548"
"2009年度","兵庫県 赤穂市","","372","483","198","78"
"2009年度","兵庫県 西脇市","","318","450","193","58"
"2009年度","兵庫県 宝塚市","","1,966","1,645","1,032","386"
"2009年度","兵庫県 三木市","","531","735","324","124"
"2009年度","兵庫県 高砂市","","840","778","515","161"
"2009年度","兵庫県 川西市","","1,193","1,181","624","271"
"2009年度","兵庫県 小野市","","450","436","212","98"
"2009年度","兵庫県 三田市","","743","687","428","166"
"2009年度","兵庫県 加西市","","315","500","177","62"
"2009年度","兵庫県 篠山市","","341","553","187","67"
"2009年度","兵庫県 養父市","","172","376","99","31"
"2009年度","兵庫県 丹波市","","494","911","277","105"
"2009年度","兵庫県 南あわじ市","","379","653","225","95"
"2009年度","兵庫県 朝来市","","243","460","141","56"
"2009年度","兵庫県 淡路市","","331","647","161","67"
"2009年度","兵庫県 宍粟市","","312","525","172","74"
"2009年度","兵庫県 加東市","","398","354","199","61"
"2009年度","兵庫県 たつの市","","644","812","375","117"
"2009年度","兵庫県 猪名川町","","242","209","95","59"
"2009年度","兵庫県 多可町","","137","285","67","34"
"2009年度","兵庫県 稲美町","","219","291","131","50"
"2009年度","兵庫県 播磨町","","273","253","171","64"
"2009年度","兵庫県 市川町","","86","149","56","12"
"2009年度","兵庫県 福崎町","","154","190","84","28"
"2009年度","兵庫県 神河町","","92","182","35","21"
"2009年度","兵庫県 太子町","","356","244","202","74"
"2009年度","兵庫県 上郡町","","98","203","75","20"
"2009年度","兵庫県 佐用町","","98","314","74","25"
"2009年度","兵庫県 香美町","","126","309","83","20"
"2009年度","兵庫県 新温泉町","","117","223","59","13"
"2008年度","兵庫県 神戸市 東灘区","","1,876","1,450","1,253","415"
"2008年度","兵庫県 神戸市 灘区","","1,139","1,097","828","251"
"2008年度","兵庫県 神戸市 兵庫区","","826","1,364","762","274"
"2008年度","兵庫県 神戸市 長田区","","725","1,279","570","245"
"2008年度","兵庫県 神戸市 須磨区","","1,246","1,399","787","308"
"2008年度","兵庫県 神戸市 垂水区","","1,902","1,980","1,115","408"
"2008年度","兵庫県 神戸市 北区","","1,805","1,821","1,023","459"
"2008年度","兵庫県 神戸市 中央区","","953","1,090","938","302"
"2008年度","兵庫県 神戸市 西区","","2,203","1,655","1,212","481"
"2008年度","兵庫県 姫路市","","5,088","4,528","3,143","1,054"
"2008年度","兵庫県 尼崎市","","4,385","4,296","3,150","1,059"
"2008年度","兵庫県 明石市","","2,737","2,295","1,786","637"
"2008年度","兵庫県 西宮市","","4,827","3,326","2,922","880"
"2008年度","兵庫県 洲本市","","363","601","224","87"
"2008年度","兵庫県 芦屋市","","851","720","483","179"
"2008年度","兵庫県 伊丹市","","2,030","1,430","1,224","406"
"2008年度","兵庫県 相生市","","229","381","145","42"
"2008年度","兵庫県 豊岡市","","764","1,043","403","142"
"2008年度","兵庫県 加古川市","","2,369","2,031","1,460","508"
"2008年度","兵庫県 赤穂市","","424","491","233","76"
"2008年度","兵庫県 西脇市","","372","458","189","81"
"2008年度","兵庫県 宝塚市","","1,981","1,591","1,090","380"
"2008年度","兵庫県 三木市","","616","775","346","145"
"2008年度","兵庫県 高砂市","","828","803","519","177"
"2008年度","兵庫県 川西市","","1,284","1,238","737","265"
"2008年度","兵庫県 小野市","","451","465","233","91"
"2008年度","兵庫県 三田市","","707","680","493","175"
"2008年度","兵庫県 加西市","","322","527","210","60"
"2008年度","兵庫県 篠山市","","319","592","180","67"
"2008年度","兵庫県 養父市","","181","386","112","32"
"2008年度","兵庫県 丹波市","","541","913","284","115"
"2008年度","兵庫県 南あわじ市","","379","671","198","92"
"2008年度","兵庫県 朝来市","","203","404","140","66"
"2008年度","兵庫県 淡路市","","334","679","204","68"
"2008年度","兵庫県 宍粟市","","340","558","177","46"
"2008年度","兵庫県 加東市","","399","350","216","65"
"2008年度","兵庫県 たつの市","","655","907","382","101"
"2008年度","兵庫県 猪名川町","","225","182","91","53"
"2008年度","兵庫県 多可町","","166","266","99","28"
"2008年度","兵庫県 稲美町","","218","300","114","46"
"2008年度","兵庫県 播磨町","","299","247","168","71"
"2008年度","兵庫県 市川町","","96","175","56","23"
"2008年度","兵庫県 福崎町","","179","200","94","19"
"2008年度","兵庫県 神河町","","75","150","41","19"
"2008年度","兵庫県 太子町","","423","232","170","71"
"2008年度","兵庫県 上郡町","","112","204","78","18"
"2008年度","兵庫県 佐用町","","129","323","65","31"
"2008年度","兵庫県 香美町","","149","283","72","23"
"2008年度","兵庫県 新温泉町","","108","238","67","17"
"2007年度","兵庫県 神戸市 東灘区","","1,918","1,380","1,237","409"
"2007年度","兵庫県 神戸市 灘区","","1,053","1,092","808","251"
"2007年度","兵庫県 神戸市 兵庫区","","811","1,266","758","260"
"2007年度","兵庫県 神戸市 長田区","","721","1,233","557","239"
"2007年度","兵庫県 神戸市 須磨区","","1,313","1,404","831","330"
"2007年度","兵庫県 神戸市 垂水区","","1,815","1,896","1,170","430"
"2007年度","兵庫県 神戸市 北区","","1,796","1,736","999","402"
"2007年度","兵庫県 神戸市 中央区","","893","1,071","945","323"
"2007年度","兵庫県 神戸市 西区","","2,176","1,573","1,242","469"
"2007年度","兵庫県 姫路市","","5,153","4,549","3,130","1,144"
"2007年度","兵庫県 尼崎市","","4,312","4,217","3,144","1,056"
"2007年度","兵庫県 明石市","","2,647","2,183","1,680","632"
"2007年度","兵庫県 西宮市","","5,062","3,313","2,801","897"
"2007年度","兵庫県 洲本市","","389","644","215","85"
"2007年度","兵庫県 芦屋市","","886","747","549","177"
"2007年度","兵庫県 伊丹市","","2,065","1,385","1,313","406"
"2007年度","兵庫県 相生市","","253","372","114","61"
"2007年度","兵庫県 豊岡市","","712","1,010","399","166"
"2007年度","兵庫県 加古川市","","2,367","2,011","1,444","548"
"2007年度","兵庫県 赤穂市","","412","514","252","80"
"2007年度","兵庫県 西脇市","","353","440","229","78"
"2007年度","兵庫県 宝塚市","","1,934","1,626","1,119","383"
"2007年度","兵庫県 三木市","","533","790","335","152"
"2007年度","兵庫県 高砂市","","809","770","526","168"
"2007年度","兵庫県 川西市","","1,221","1,257","637","257"
"2007年度","兵庫県 小野市","","452","418","238","87"
"2007年度","兵庫県 三田市","","715","673","435","183"
"2007年度","兵庫県 加西市","","354","438","171","45"
"2007年度","兵庫県 篠山市","","321","537","201","70"
"2007年度","兵庫県 養父市","","191","389","115","25"
"2007年度","兵庫県 丹波市","","527","831","308","111"
"2007年度","兵庫県 南あわじ市","","406","625","217","86"
"2007年度","兵庫県 朝来市","","281","420","151","57"
"2007年度","兵庫県 淡路市","","354","660","191","66"
"2007年度","兵庫県 宍粟市","","319","516","176","50"
"2007年度","兵庫県 加東市","","390","383","219","72"
"2007年度","兵庫県 たつの市","","576","883","396","141"
"2007年度","兵庫県 猪名川町","","281","197","106","47"
"2007年度","兵庫県 多可町","","149","246","90","27"
"2007年度","兵庫県 稲美町","","221","235","141","49"
"2007年度","兵庫県 播磨町","","304","219","177","69"
"2007年度","兵庫県 市川町","","69","152","64","23"
"2007年度","兵庫県 福崎町","","183","189","109","30"
"2007年度","兵庫県 神河町","","91","172","34","17"
"2007年度","兵庫県 太子町","","389","213","187","57"
"2007年度","兵庫県 上郡町","","109","202","71","39"
"2007年度","兵庫県 佐用町","","126","327","55","29"
"2007年度","兵庫県 香美町","","135","253","85","22"
"2007年度","兵庫県 新温泉町","","138","220","62","16"
"2006年度","兵庫県 神戸市 東灘区","","1,979","1,330","1,231","409"
"2006年度","兵庫県 神戸市 灘区","","1,085","1,062","798","289"
"2006年度","兵庫県 神戸市 兵庫区","","883","1,244","737","273"
"2006年度","兵庫県 神戸市 長田区","","746","1,163","572","260"
"2006年度","兵庫県 神戸市 須磨区","","1,274","1,417","848","319"
"2006年度","兵庫県 神戸市 垂水区","","1,895","1,792","1,123","446"
"2006年度","兵庫県 神戸市 北区","","1,772","1,761","973","423"
"2006年度","兵庫県 神戸市 中央区","","945","1,125","938","326"
"2006年度","兵庫県 神戸市 西区","","2,141","1,556","1,311","464"
"2006年度","兵庫県 姫路市","","5,135","4,396","3,136","1,126"
"2006年度","兵庫県 尼崎市","","4,305","4,029","3,236","1,091"
"2006年度","兵庫県 明石市","","2,746","2,254","1,670","642"
"2006年度","兵庫県 西宮市","","4,740","3,098","3,022","857"
"2006年度","兵庫県 洲本市","","403","618","227","96"
"2006年度","兵庫県 芦屋市","","862","702","589","162"
"2006年度","兵庫県 伊丹市","","1,923","1,302","1,305","408"
"2006年度","兵庫県 相生市","","245","367","161","43"
"2006年度","兵庫県 豊岡市","","797","980","445","143"
"2006年度","兵庫県 加古川市","","2,384","1,908","1,427","561"
"2006年度","兵庫県 赤穂市","","371","467","250","69"
"2006年度","兵庫県 西脇市","","353","452","235","70"
"2006年度","兵庫県 宝塚市","","2,062","1,562","1,094","387"
"2006年度","兵庫県 三木市","","585","758","376","133"
"2006年度","兵庫県 高砂市","","844","676","515","186"
"2006年度","兵庫県 川西市","","1,265","1,168","715","266"
"2006年度","兵庫県 小野市","","472","431","249","98"
"2006年度","兵庫県 三田市","","712","684","420","179"
"2006年度","兵庫県 加西市","","340","504","228","78"
"2006年度","兵庫県 篠山市","","297","552","217","76"
"2006年度","兵庫県 養父市","","210","375","98","45"
"2006年度","兵庫県 丹波市","","530","853","325","112"
"2006年度","兵庫県 南あわじ市","","387","626","219","94"
"2006年度","兵庫県 朝来市","","252","377","162","62"
"2006年度","兵庫県 淡路市","","327","674","198","66"
"2006年度","兵庫県 宍粟市","","332","498","186","68"
"2006年度","兵庫県 加東市","","374","351","240","73"
"2006年度","兵庫県 たつの市","","630","749","379","117"
"2006年度","兵庫県 猪名川町","","221","199","99","53"
"2006年度","兵庫県 多可町","","189","272","84","28"
"2006年度","兵庫県 稲美町","","228","253","145","51"
"2006年度","兵庫県 播磨町","","288","258","198","57"
"2006年度","兵庫県 市川町","","83","145","47","25"
"2006年度","兵庫県 福崎町","","182","168","89","22"
"2006年度","兵庫県 神河町","","94","158","58","13"
"2006年度","兵庫県 太子町","","375","241","185","63"
"2006年度","兵庫県 上郡町","","108","166","78","23"
"2006年度","兵庫県 佐用町","","133","262","61","27"
"2006年度","兵庫県 香美町","","134","280","71","21"
"2006年度","兵庫県 新温泉町","","133","213","74","14"
"2005年度","兵庫県 神戸市 東灘区","","1,922","1,298","1,225","403"
"2005年度","兵庫県 神戸市 灘区","","1,083","1,045","757","250"
"2005年度","兵庫県 神戸市 兵庫区","","812","1,307","723","307"
"2005年度","兵庫県 神戸市 長田区","","756","1,198","560","244"
"2005年度","兵庫県 神戸市 須磨区","","1,256","1,329","822","340"
"2005年度","兵庫県 神戸市 垂水区","","1,887","1,944","1,168","429"
"2005年度","兵庫県 神戸市 北区","","1,673","1,660","1,013","456"
"2005年度","兵庫県 神戸市 中央区","","855","1,023","910","334"
"2005年度","兵庫県 神戸市 西区","","2,034","1,463","1,180","471"
"2005年度","兵庫県 姫路市","","4,933","4,443","3,089","1,217"
"2005年度","兵庫県 尼崎市","","4,083","4,099","3,066","1,190"
"2005年度","兵庫県 明石市","","2,620","2,233","1,689","638"
"2005年度","兵庫県 西宮市","","4,539","3,188","2,933","940"
"2005年度","兵庫県 洲本市","","402","599","231","94"
"2005年度","兵庫県 芦屋市","","812","729","557","154"
"2005年度","兵庫県 伊丹市","","1,979","1,269","1,254","472"
"2005年度","兵庫県 相生市","","234","350","163","50"
"2005年度","兵庫県 豊岡市","","732","995","449","161"
"2005年度","兵庫県 加古川市","","2,290","1,961","1,417","590"
"2005年度","兵庫県 赤穂市","","384","474","218","93"
"2005年度","兵庫県 西脇市","","340","418","219","79"
"2005年度","兵庫県 宝塚市","","1,894","1,587","1,105","443"
"2005年度","兵庫県 三木市","","544","712","320","142"
"2005年度","兵庫県 高砂市","","863","784","544","187"
"2005年度","兵庫県 川西市","","1,247","1,163","683","275"
"2005年度","兵庫県 小野市","","465","396","253","92"
"2005年度","兵庫県 三田市","","732","662","410","177"
"2005年度","兵庫県 加西市","","373","493","188","61"
"2005年度","兵庫県 篠山市","","303","522","175","77"
"2005年度","兵庫県 養父市","","225","377","109","31"
"2005年度","兵庫県 丹波市","","524","826","312","130"
"2005年度","兵庫県 南あわじ市","","401","616","228","71"
"2005年度","兵庫県 朝来市","","272","432","135","40"
"2005年度","兵庫県 淡路市","","315","661","186","59"
"2005年度","兵庫県 宍粟市","","359","505","191","54"
"2005年度","兵庫県 加東市","","400","368","227","66"
"2005年度","兵庫県 たつの市","","648","823","353","116"
"2005年度","兵庫県 猪名川町","","205","184","91","30"
"2005年度","兵庫県 多可町","","171","300","103","37"
"2005年度","兵庫県 稲美町","","229","255","126","61"
"2005年度","兵庫県 播磨町","","249","232","160","76"
"2005年度","兵庫県 市川町","","100","155","59","13"
"2005年度","兵庫県 福崎町","","152","195","108","36"
"2005年度","兵庫県 神河町","","84","161","46","16"
"2005年度","兵庫県 太子町","","359","241","191","70"
"2005年度","兵庫県 上郡町","","140","172","54","31"
"2005年度","兵庫県 佐用町","","118","313","96","29"
"2005年度","兵庫県 香美町","","149","286","85","21"
"2005年度","兵庫県 新温泉町","","126","211","55","16"
"2004年度","兵庫県 神戸市 東灘区","","1,902","1,236","1,193","377"
"2004年度","兵庫県 神戸市 灘区","","1,176","1,014","818","297"
"2004年度","兵庫県 神戸市 兵庫区","","821","1,201","673","285"
"2004年度","兵庫県 神戸市 長田区","","712","1,157","546","266"
"2004年度","兵庫県 神戸市 須磨区","","1,277","1,292","796","386"
"2004年度","兵庫県 神戸市 垂水区","","2,064","1,761","1,230","474"
"2004年度","兵庫県 神戸市 北区","","1,788","1,581","1,004","467"
"2004年度","兵庫県 神戸市 中央区","","902","1,007","833","301"
"2004年度","兵庫県 神戸市 西区","","2,080","1,409","1,161","491"
"2004年度","兵庫県 姫路市","","5,239","4,376","3,128","1,288"
"2004年度","兵庫県 尼崎市","","4,376","3,941","3,081","1,170"
"2004年度","兵庫県 明石市","","2,712","2,077","1,748","710"
"2004年度","兵庫県 西宮市","","4,728","3,019","2,709","906"
"2004年度","兵庫県 洲本市","","456","605","262","98"
"2004年度","兵庫県 芦屋市","","859","668","541","162"
"2004年度","兵庫県 伊丹市","","2,057","1,217","1,308","475"
"2004年度","兵庫県 相生市","","201","364","145","50"
"2004年度","兵庫県 豊岡市","","746","965","467","150"
"2004年度","兵庫県 加古川市","","2,429","1,795","1,422","578"
"2004年度","兵庫県 赤穂市","","454","438","228","96"
"2004年度","兵庫県 西脇市","","409","403","223","85"
"2004年度","兵庫県 宝塚市","","2,027","1,460","1,146","456"
"2004年度","兵庫県 三木市","","609","674","313","156"
"2004年度","兵庫県 高砂市","","869","702","491","205"
"2004年度","兵庫県 川西市","","1,319","1,100","729","279"
"2004年度","兵庫県 小野市","","506","390","266","98"
"2004年度","兵庫県 三田市","","822","569","421","157"
"2004年度","兵庫県 加西市","","425","481","236","70"
"2004年度","兵庫県 篠山市","","350","507","183","59"
"2004年度","兵庫県 養父市","","200","383","93","43"
"2004年度","兵庫県 丹波市","","626","802","309","130"
"2004年度","兵庫県 南あわじ市","","410","654","226","102"
"2004年度","兵庫県 朝来市","","286","412","159","56"
"2004年度","兵庫県 淡路市","","349","639","172","88"
"2004年度","兵庫県 宍粟市","","348","538","187","54"
"2004年度","兵庫県 加東市","","408","342","210","55"
"2004年度","兵庫県 たつの市","","655","762","372","125"
"2004年度","兵庫県 猪名川町","","168","158","91","38"
"2004年度","兵庫県 多可町","","183","253","102","30"
"2004年度","兵庫県 稲美町","","248","228","143","67"
"2004年度","兵庫県 播磨町","","298","251","180","69"
"2004年度","兵庫県 市川町","","86","134","51","15"
"2004年度","兵庫県 福崎町","","181","176","99","31"
"2004年度","兵庫県 神河町","","99","163","53","10"
"2004年度","兵庫県 太子町","","391","213","188","71"
"2004年度","兵庫県 上郡町","","127","180","81","30"
"2004年度","兵庫県 佐用町","","122","305","83","24"
"2004年度","兵庫県 香美町","","154","282","68","16"
"2004年度","兵庫県 新温泉町","","135","210","73","23"
"2003年度","兵庫県 神戸市 東灘区","","2,077","1,282","1,258","454"
"2003年度","兵庫県 神戸市 灘区","","1,109","1,066","807","289"
"2003年度","兵庫県 神戸市 兵庫区","","860","1,196","713","300"
"2003年度","兵庫県 神戸市 長田区","","721","1,158","581","311"
"2003年度","兵庫県 神戸市 須磨区","","1,400","1,256","873","377"
"2003年度","兵庫県 神戸市 垂水区","","2,083","1,728","1,240","538"
"2003年度","兵庫県 神戸市 北区","","1,796","1,600","1,002","483"
"2003年度","兵庫県 神戸市 中央区","","782","969","782","328"
"2003年度","兵庫県 神戸市 西区","","2,144","1,430","1,196","549"
"2003年度","兵庫県 姫路市","","5,397","4,124","3,230","1,296"
"2003年度","兵庫県 尼崎市","","4,442","3,771","3,148","1,207"
"2003年度","兵庫県 明石市","","2,856","2,108","1,796","707"
"2003年度","兵庫県 西宮市","","4,707","2,926","2,950","941"
"2003年度","兵庫県 洲本市","","446","564","251","92"
"2003年度","兵庫県 芦屋市","","784","660","539","204"
"2003年度","兵庫県 伊丹市","","2,077","1,193","1,363","478"
"2003年度","兵庫県 相生市","","242","348","127","51"
"2003年度","兵庫県 豊岡市","","801","913","447","165"
"2003年度","兵庫県 加古川市","","2,533","1,772","1,500","600"
"2003年度","兵庫県 赤穂市","","466","424","239","84"
"2003年度","兵庫県 西脇市","","377","420","225","86"
"2003年度","兵庫県 宝塚市","","2,069","1,473","1,129","431"
"2003年度","兵庫県 三木市","","583","699","378","141"
"2003年度","兵庫県 高砂市","","862","699","530","244"
"2003年度","兵庫県 川西市","","1,287","1,114","755","253"
"2003年度","兵庫県 小野市","","475","409","283","105"
"2003年度","兵庫県 三田市","","844","606","430","199"
"2003年度","兵庫県 加西市","","359","417","228","80"
"2003年度","兵庫県 篠山市","","329","512","169","74"
"2003年度","兵庫県 養父市","","224","395","122","53"
"2003年度","兵庫県 丹波市","","579","835","339","123"
"2003年度","兵庫県 南あわじ市","","420","638","244","91"
"2003年度","兵庫県 朝来市","","312","381","163","64"
"2003年度","兵庫県 淡路市","","356","642","210","90"
"2003年度","兵庫県 宍粟市","","349","475","197","73"
"2003年度","兵庫県 加東市","","447","336","214","77"
"2003年度","兵庫県 たつの市","","712","760","405","123"
"2003年度","兵庫県 猪名川町","","172","197","74","38"
"2003年度","兵庫県 多可町","","226","270","99","34"
"2003年度","兵庫県 稲美町","","226","236","129","48"
"2003年度","兵庫県 播磨町","","296","216","185","78"
"2003年度","兵庫県 市川町","","94","118","70","27"
"2003年度","兵庫県 福崎町","","167","173","108","41"
"2003年度","兵庫県 神河町","","93","144","58","17"
"2003年度","兵庫県 太子町","","368","224","220","70"
"2003年度","兵庫県 上郡町","","128","181","74","23"
"2003年度","兵庫県 佐用町","","139","272","81","35"
"2003年度","兵庫県 香美町","","165","284","74","18"
"2003年度","兵庫県 新温泉町","","139","236","81","25"
"2002年度","兵庫県 神戸市 東灘区","","2,162","1,170","1,376","409"
"2002年度","兵庫県 神戸市 灘区","","1,122","994","881","311"
