"調査年","地域","/項目","A4101_出生数【人】","A4200_死亡数【人】","A9101_婚姻件数【組】","A9201_離婚件数【組】"
"1987年度","兵庫県 明石市","","***","1,457","1,524","370"
"1987年度","兵庫県 西宮市","","***","2,173","2,621","599"
"1987年度","兵庫県 洲本市","","***","507","278","61"
"1987年度","兵庫県 芦屋市","","***","517","514","103"
"1987年度","兵庫県 伊丹市","","***","836","1,334","246"
"1987年度","兵庫県 相生市","","***","270","183","32"
"1987年度","兵庫県 豊岡市","","***","751","445","61"
"1987年度","兵庫県 加古川市","","***","1,219","1,163","264"
"1987年度","兵庫県 赤穂市","","***","418","242","49"
"1987年度","兵庫県 西脇市","","***","341","207","49"
"1987年度","兵庫県 宝塚市","","***","938","1,194","223"
"1987年度","兵庫県 三木市","","***","523","349","57"
"1987年度","兵庫県 高砂市","","***","462","464","96"
"1987年度","兵庫県 川西市","","***","664","610","135"
"1987年度","兵庫県 小野市","","***","295","228","46"
"1987年度","兵庫県 三田市","","***","287","232","31"
"1987年度","兵庫県 加西市","","***","406","265","33"
"1987年度","兵庫県 篠山市","","***","451","191","19"
"1987年度","兵庫県 養父市","","***","301","145","21"
"1987年度","兵庫県 丹波市","","***","621","330","61"
"1987年度","兵庫県 南あわじ市","","***","552","279","44"
"1987年度","兵庫県 朝来市","","***","333","166","26"
"1987年度","兵庫県 淡路市","","***","656","281","44"
"1987年度","兵庫県 宍粟市","","***","419","245","34"
"1987年度","兵庫県 加東市","","***","264","184","29"
"1987年度","兵庫県 たつの市","","***","572","400","75"
"1987年度","兵庫県 猪名川町","","***","110","44","4"
"1987年度","兵庫県 多可町","","***","211","130","12"
"1987年度","兵庫県 稲美町","","***","189","118","19"
"1987年度","兵庫県 播磨町","","***","147","117","50"
"1987年度","兵庫県 市川町","","***","126","80","12"
"1987年度","兵庫県 福崎町","","***","154","94","13"
"1987年度","兵庫県 神河町","","***","151","68","8"
"1987年度","兵庫県 太子町","","***","153","128","21"
"1987年度","兵庫県 上郡町","","***","148","81","14"
"1987年度","兵庫県 佐用町","","***","247","106","17"
"1987年度","兵庫県 香美町","","***","217","103","11"
"1987年度","兵庫県 新温泉町","","***","185","84","7"
"1986年度","兵庫県 神戸市 東灘区","","***","1,038","1,336","280"
"1986年度","兵庫県 神戸市 灘区","","***","917","767","215"
"1986年度","兵庫県 神戸市 兵庫区","","***","1,228","767","267"
"1986年度","兵庫県 神戸市 長田区","","***","1,262","720","286"
"1986年度","兵庫県 神戸市 須磨区","","***","970","921","253"
"1986年度","兵庫県 神戸市 垂水区","","***","1,086","1,610","341"
"1986年度","兵庫県 神戸市 北区","","***","976","862","264"
"1986年度","兵庫県 神戸市 中央区","","***","922","784","268"
"1986年度","兵庫県 神戸市 西区","","***","687","599","155"
"1986年度","兵庫県 姫路市","","***","3,203","3,104","717"
"1986年度","兵庫県 尼崎市","","***","3,087","3,544","898"
"1986年度","兵庫県 明石市","","***","1,456","1,538","377"
"1986年度","兵庫県 西宮市","","***","2,258","2,682","581"
"1986年度","兵庫県 洲本市","","***","497","292","54"
"1986年度","兵庫県 芦屋市","","***","511","581","137"
"1986年度","兵庫県 伊丹市","","***","789","1,183","224"
"1986年度","兵庫県 相生市","","***","287","178","40"
"1986年度","兵庫県 豊岡市","","***","827","433","77"
"1986年度","兵庫県 加古川市","","***","1,242","1,293","315"
"1986年度","兵庫県 赤穂市","","***","371","276","41"
"1986年度","兵庫県 西脇市","","***","333","241","48"
"1986年度","兵庫県 宝塚市","","***","988","1,212","240"
"1986年度","兵庫県 三木市","","***","486","345","71"
"1986年度","兵庫県 高砂市","","***","528","519","120"
"1986年度","兵庫県 川西市","","***","720","586","120"
"1986年度","兵庫県 小野市","","***","344","235","35"
"1986年度","兵庫県 三田市","","***","282","184","30"
"1986年度","兵庫県 加西市","","***","402","286","50"
"1986年度","兵庫県 篠山市","","***","461","185","36"
"1986年度","兵庫県 養父市","","***","308","124","29"
"1986年度","兵庫県 丹波市","","***","750","327","59"
"1986年度","兵庫県 南あわじ市","","***","574","277","36"
"1986年度","兵庫県 朝来市","","***","356","170","34"
"1986年度","兵庫県 淡路市","","***","651","245","36"
"1986年度","兵庫県 宍粟市","","***","441","265","30"
"1986年度","兵庫県 加東市","","***","290","217","34"
"1986年度","兵庫県 たつの市","","***","630","426","76"
"1986年度","兵庫県 猪名川町","","***","93","49","9"
"1986年度","兵庫県 多可町","","***","237","121","14"
"1986年度","兵庫県 稲美町","","***","191","129","26"
"1986年度","兵庫県 播磨町","","***","133","141","39"
"1986年度","兵庫県 市川町","","***","123","82","11"
"1986年度","兵庫県 福崎町","","***","170","71","13"
"1986年度","兵庫県 神河町","","***","147","82","11"
"1986年度","兵庫県 太子町","","***","163","160","33"
"1986年度","兵庫県 上郡町","","***","166","79","15"
"1986年度","兵庫県 佐用町","","***","297","129","19"
"1986年度","兵庫県 香美町","","***","227","113","21"
"1986年度","兵庫県 新温泉町","","***","183","106","9"
"1985年度","兵庫県 神戸市 東灘区","","***","1,011","1,362","289"
"1985年度","兵庫県 神戸市 灘区","","***","1,024","869","199"
"1985年度","兵庫県 神戸市 兵庫区","","***","1,220","765","239"
"1985年度","兵庫県 神戸市 長田区","","***","1,354","814","273"
"1985年度","兵庫県 神戸市 須磨区","","***","943","1,005","250"
"1985年度","兵庫県 神戸市 垂水区","","***","1,054","1,684","348"
"1985年度","兵庫県 神戸市 北区","","***","914","872","244"
"1985年度","兵庫県 神戸市 中央区","","***","952","813","266"
"1985年度","兵庫県 神戸市 西区","","***","571","560","137"
"1985年度","兵庫県 姫路市","","***","3,227","3,096","649"
"1985年度","兵庫県 尼崎市","","***","3,031","3,504","855"
"1985年度","兵庫県 明石市","","***","1,426","1,554","327"
"1985年度","兵庫県 西宮市","","***","2,209","2,890","550"
"1985年度","兵庫県 洲本市","","***","538","276","54"
"1985年度","兵庫県 芦屋市","","***","520","576","151"
"1985年度","兵庫県 伊丹市","","***","830","1,262","235"
"1985年度","兵庫県 相生市","","***","282","207","39"
"1985年度","兵庫県 豊岡市","","***","835","445","86"
"1985年度","兵庫県 加古川市","","***","1,210","1,259","275"
"1985年度","兵庫県 赤穂市","","***","403","288","52"
"1985年度","兵庫県 西脇市","","***","327","254","54"
"1985年度","兵庫県 宝塚市","","***","906","1,223","231"
"1985年度","兵庫県 三木市","","***","492","349","75"
"1985年度","兵庫県 高砂市","","***","500","540","107"
"1985年度","兵庫県 川西市","","***","690","630","143"
"1985年度","兵庫県 小野市","","***","322","221","41"
"1985年度","兵庫県 三田市","","***","307","195","31"
"1985年度","兵庫県 加西市","","***","390","275","35"
"1985年度","兵庫県 篠山市","","***","452","190","33"
"1985年度","兵庫県 養父市","","***","327","180","19"
"1985年度","兵庫県 丹波市","","***","745","350","63"
"1985年度","兵庫県 南あわじ市","","***","546","324","41"
"1985年度","兵庫県 朝来市","","***","330","204","16"
"1985年度","兵庫県 淡路市","","***","645","277","31"
"1985年度","兵庫県 宍粟市","","***","457","280","43"
"1985年度","兵庫県 加東市","","***","260","197","28"
"1985年度","兵庫県 たつの市","","***","622","428","72"
"1985年度","兵庫県 猪名川町","","***","69","63","12"
"1985年度","兵庫県 多可町","","***","215","145","17"
"1985年度","兵庫県 稲美町","","***","180","110","27"
"1985年度","兵庫県 播磨町","","***","134","164","40"
"1985年度","兵庫県 市川町","","***","153","72","12"
"1985年度","兵庫県 福崎町","","***","154","106","16"
"1985年度","兵庫県 神河町","","***","123","78","10"
"1985年度","兵庫県 太子町","","***","163","140","28"
"1985年度","兵庫県 上郡町","","***","156","96","13"
"1985年度","兵庫県 佐用町","","***","299","110","17"
"1985年度","兵庫県 香美町","","***","222","140","16"
"1985年度","兵庫県 新温泉町","","***","212","102","13"
"1984年度","兵庫県 神戸市 東灘区","","***","1,118","1,357","292"
"1984年度","兵庫県 神戸市 灘区","","***","940","875","208"
"1984年度","兵庫県 神戸市 兵庫区","","***","1,307","815","276"
"1984年度","兵庫県 神戸市 長田区","","***","1,295","878","288"
"1984年度","兵庫県 神戸市 須磨区","","***","914","1,049","248"
"1984年度","兵庫県 神戸市 垂水区","","***","1,050","1,756","339"
"1984年度","兵庫県 神戸市 北区","","***","880","930","284"
"1984年度","兵庫県 神戸市 中央区","","***","913","849","271"
"1984年度","兵庫県 神戸市 西区","","***","647","491","150"
"1984年度","兵庫県 姫路市","","***","3,184","3,157","776"
"1984年度","兵庫県 尼崎市","","***","2,928","3,379","966"
"1984年度","兵庫県 明石市","","***","1,393","1,594","416"
"1984年度","兵庫県 西宮市","","***","2,175","2,739","538"
"1984年度","兵庫県 洲本市","","***","530","313","66"
"1984年度","兵庫県 芦屋市","","***","503","550","137"
"1984年度","兵庫県 伊丹市","","***","783","1,309","263"
"1984年度","兵庫県 相生市","","***","296","215","40"
"1984年度","兵庫県 豊岡市","","***","844","541","94"
"1984年度","兵庫県 加古川市","","***","1,144","1,235","286"
"1984年度","兵庫県 赤穂市","","***","390","296","43"
"1984年度","兵庫県 西脇市","","***","328","249","60"
"1984年度","兵庫県 宝塚市","","***","890","1,223","233"
"1984年度","兵庫県 三木市","","***","532","403","78"
"1984年度","兵庫県 高砂市","","***","517","514","130"
"1984年度","兵庫県 川西市","","***","604","591","148"
"1984年度","兵庫県 小野市","","***","325","247","45"
"1984年度","兵庫県 三田市","","***","292","192","52"
"1984年度","兵庫県 加西市","","***","379","284","46"
"1984年度","兵庫県 篠山市","","***","420","194","27"
"1984年度","兵庫県 養父市","","***","322","148","20"
"1984年度","兵庫県 丹波市","","***","756","390","49"
"1984年度","兵庫県 南あわじ市","","***","565","306","37"
"1984年度","兵庫県 朝来市","","***","366","214","28"
"1984年度","兵庫県 淡路市","","***","700","269","46"
"1984年度","兵庫県 宍粟市","","***","453","277","40"
"1984年度","兵庫県 加東市","","***","264","216","21"
"1984年度","兵庫県 たつの市","","***","603","437","93"
"1984年度","兵庫県 猪名川町","","***","92","49","13"
"1984年度","兵庫県 多可町","","***","200","159","15"
"1984年度","兵庫県 稲美町","","***","167","146","38"
"1984年度","兵庫県 播磨町","","***","131","178","47"
"1984年度","兵庫県 市川町","","***","135","88","8"
"1984年度","兵庫県 福崎町","","***","132","102","14"
"1984年度","兵庫県 神河町","","***","136","81","10"
"1984年度","兵庫県 太子町","","***","155","149","31"
"1984年度","兵庫県 上郡町","","***","170","93","13"
"1984年度","兵庫県 佐用町","","***","257","134","18"
"1984年度","兵庫県 香美町","","***","236","149","14"
"1984年度","兵庫県 新温泉町","","***","198","104","13"
"1983年度","兵庫県 神戸市 東灘区","","***","1,042","1,360","270"
"1983年度","兵庫県 神戸市 灘区","","***","930","903","206"
"1983年度","兵庫県 神戸市 兵庫区","","***","1,225","799","256"
"1983年度","兵庫県 神戸市 長田区","","***","1,260","919","309"
"1983年度","兵庫県 神戸市 須磨区","","***","898","1,006","278"
"1983年度","兵庫県 神戸市 垂水区","","***","994","1,808","370"
"1983年度","兵庫県 神戸市 北区","","***","848","926","249"
"1983年度","兵庫県 神戸市 中央区","","***","922","836","295"
"1983年度","兵庫県 神戸市 西区","","***","583","526","132"
"1983年度","兵庫県 姫路市","","***","3,094","3,271","807"
"1983年度","兵庫県 尼崎市","","***","2,887","3,640","969"
"1983年度","兵庫県 明石市","","***","1,423","1,628","377"
"1983年度","兵庫県 西宮市","","***","2,153","2,951","553"
"1983年度","兵庫県 洲本市","","***","500","298","58"
"1983年度","兵庫県 芦屋市","","***","487","620","118"
"1983年度","兵庫県 伊丹市","","***","781","1,320","229"
"1983年度","兵庫県 相生市","","***","298","222","45"
"1983年度","兵庫県 豊岡市","","***","768","498","81"
"1983年度","兵庫県 加古川市","","***","1,188","1,327","304"
"1983年度","兵庫県 赤穂市","","***","402","288","50"
"1983年度","兵庫県 西脇市","","***","391","250","48"
"1983年度","兵庫県 宝塚市","","***","893","1,167","208"
"1983年度","兵庫県 三木市","","***","495","404","77"
"1983年度","兵庫県 高砂市","","***","483","534","122"
"1983年度","兵庫県 川西市","","***","626","629","142"
"1983年度","兵庫県 小野市","","***","330","256","42"
"1983年度","兵庫県 三田市","","***","300","227","31"
"1983年度","兵庫県 加西市","","***","454","300","31"
"1983年度","兵庫県 篠山市","","***","456","199","44"
"1983年度","兵庫県 養父市","","***","320","187","26"
"1983年度","兵庫県 丹波市","","***","718","380","48"
"1983年度","兵庫県 南あわじ市","","***","535","286","47"
"1983年度","兵庫県 朝来市","","***","356","220","38"
"1983年度","兵庫県 淡路市","","***","622","322","47"
"1983年度","兵庫県 宍粟市","","***","488","274","32"
"1983年度","兵庫県 加東市","","***","296","222","20"
"1983年度","兵庫県 たつの市","","***","571","434","93"
"1983年度","兵庫県 猪名川町","","***","92","44","11"
"1983年度","兵庫県 多可町","","***","205","160","19"
"1983年度","兵庫県 稲美町","","***","175","138","39"
"1983年度","兵庫県 播磨町","","***","132","148","34"
"1983年度","兵庫県 市川町","","***","128","110","21"
"1983年度","兵庫県 福崎町","","***","145","105","5"
"1983年度","兵庫県 神河町","","***","139","92","19"
"1983年度","兵庫県 太子町","","***","139","149","29"
"1983年度","兵庫県 上郡町","","***","142","114","12"
"1983年度","兵庫県 佐用町","","***","284","141","19"
"1983年度","兵庫県 香美町","","***","247","140","19"
"1983年度","兵庫県 新温泉町","","***","234","110","9"
"1982年度","兵庫県 神戸市 東灘区","","***","959","1,334","236"
"1982年度","兵庫県 神戸市 灘区","","***","958","946","223"
"1982年度","兵庫県 神戸市 兵庫区","","***","1,193","862","239"
"1982年度","兵庫県 神戸市 長田区","","***","1,309","861","320"
"1982年度","兵庫県 神戸市 須磨区","","***","870","932","227"
"1982年度","兵庫県 神戸市 垂水区","","***","1,289","2,085","414"
"1982年度","兵庫県 神戸市 北区","","***","818","1,018","240"
"1982年度","兵庫県 神戸市 中央区","","***","894","897","255"
"1982年度","兵庫県 神戸市 西区","","***","224","216","45"
"1982年度","兵庫県 姫路市","","***","2,896","3,208","733"
"1982年度","兵庫県 尼崎市","","***","2,755","3,750","927"
"1982年度","兵庫県 明石市","","***","1,299","1,759","372"
"1982年度","兵庫県 西宮市","","***","2,029","3,128","519"
"1982年度","兵庫県 洲本市","","***","503","306","49"
"1982年度","兵庫県 芦屋市","","***","469","666","115"
"1982年度","兵庫県 伊丹市","","***","689","1,287","236"
"1982年度","兵庫県 相生市","","***","286","232","48"
"1982年度","兵庫県 豊岡市","","***","772","536","71"
"1982年度","兵庫県 加古川市","","***","1,160","1,349","252"
"1982年度","兵庫県 赤穂市","","***","355","305","42"
"1982年度","兵庫県 西脇市","","***","353","238","40"
"1982年度","兵庫県 宝塚市","","***","811","1,134","196"
"1982年度","兵庫県 三木市","","***","462","403","60"
"1982年度","兵庫県 高砂市","","***","471","571","101"
"1982年度","兵庫県 川西市","","***","599","690","131"
"1982年度","兵庫県 小野市","","***","287","256","39"
"1982年度","兵庫県 三田市","","***","266","243","33"
"1982年度","兵庫県 加西市","","***","382","289","37"
"1982年度","兵庫県 篠山市","","***","411","228","28"
"1982年度","兵庫県 養父市","","***","353","183","19"
"1982年度","兵庫県 丹波市","","***","754","405","64"
"1982年度","兵庫県 南あわじ市","","***","536","351","47"
"1982年度","兵庫県 朝来市","","***","367","223","28"
"1982年度","兵庫県 淡路市","","***","651","332","46"
"1982年度","兵庫県 宍粟市","","***","412","283","26"
"1982年度","兵庫県 加東市","","***","271","204","27"
"1982年度","兵庫県 たつの市","","***","639","441","58"
"1982年度","兵庫県 猪名川町","","***","84","42","3"
"1982年度","兵庫県 多可町","","***","227","139","20"
"1982年度","兵庫県 稲美町","","***","196","129","12"
"1982年度","兵庫県 播磨町","","***","106","189","27"
"1982年度","兵庫県 市川町","","***","137","108","12"
"1982年度","兵庫県 福崎町","","***","154","89","12"
"1982年度","兵庫県 神河町","","***","120","94","6"
"1982年度","兵庫県 太子町","","***","135","153","30"
"1982年度","兵庫県 上郡町","","***","139","104","15"
"1982年度","兵庫県 佐用町","","***","287","128","23"
"1982年度","兵庫県 香美町","","***","243","166","14"
"1982年度","兵庫県 新温泉町","","***","214","114","13"
"1981年度","兵庫県 神戸市 東灘区","","***","994","1,342","224"
"1981年度","兵庫県 神戸市 灘区","","***","1,025","953","245"
"1981年度","兵庫県 神戸市 兵庫区","","***","1,286","834","230"
"1981年度","兵庫県 神戸市 長田区","","***","1,355","903","281"
"1981年度","兵庫県 神戸市 須磨区","","***","815","895","194"
"1981年度","兵庫県 神戸市 垂水区","","***","1,503","2,161","402"
"1981年度","兵庫県 神戸市 北区","","***","833","1,014","225"
"1981年度","兵庫県 神戸市 中央区","","***","926","858","221"
"1981年度","兵庫県 姫路市","","***","3,078","3,339","677"
"1981年度","兵庫県 尼崎市","","***","2,924","3,499","919"
"1981年度","兵庫県 明石市","","***","1,329","1,789","320"
"1981年度","兵庫県 西宮市","","***","2,040","2,836","508"
"1981年度","兵庫県 洲本市","","***","529","292","67"
"1981年度","兵庫県 芦屋市","","***","453","583","113"
"1981年度","兵庫県 伊丹市","","***","771","1,252","209"
"1981年度","兵庫県 相生市","","***","289","204","35"
"1981年度","兵庫県 豊岡市","","***","817","563","92"
"1981年度","兵庫県 加古川市","","***","1,154","1,290","223"
"1981年度","兵庫県 赤穂市","","***","393","269","41"
"1981年度","兵庫県 西脇市","","***","296","275","40"
"1981年度","兵庫県 宝塚市","","***","807","1,238","188"
"1981年度","兵庫県 三木市","","***","455","385","79"
"1981年度","兵庫県 高砂市","","***","473","548","90"
"1981年度","兵庫県 川西市","","***","554","663","144"
"1981年度","兵庫県 小野市","","***","300","246","30"
"1981年度","兵庫県 三田市","","***","264","224","37"
"1981年度","兵庫県 加西市","","***","408","333","30"
"1981年度","兵庫県 篠山市","","***","440","220","31"
"1981年度","兵庫県 養父市","","***","324","173","20"
"1981年度","兵庫県 丹波市","","***","699","396","60"
"1981年度","兵庫県 南あわじ市","","***","539","327","29"
"1981年度","兵庫県 朝来市","","***","345","207","25"
"1981年度","兵庫県 淡路市","","***","643","269","46"
"1981年度","兵庫県 宍粟市","","***","480","301","36"
"1981年度","兵庫県 加東市","","***","258","196","19"
"1981年度","兵庫県 たつの市","","***","608","463","77"
"1981年度","兵庫県 猪名川町","","***","71","45","9"
"1981年度","兵庫県 多可町","","***","237","170","21"
"1981年度","兵庫県 稲美町","","***","188","138","12"
"1981年度","兵庫県 播磨町","","***","111","148","24"
"1981年度","兵庫県 市川町","","***","129","106","16"
"1981年度","兵庫県 福崎町","","***","157","99","14"
"1981年度","兵庫県 神河町","","***","128","83","11"
"1981年度","兵庫県 太子町","","***","147","140","32"
"1981年度","兵庫県 上郡町","","***","139","117","15"
"1981年度","兵庫県 佐用町","","***","299","130","14"
"1981年度","兵庫県 香美町","","***","223","128","19"
"1981年度","兵庫県 新温泉町","","***","217","111","6"
"1980年度","兵庫県 神戸市 東灘区","","***","978","1,403","232"
"1980年度","兵庫県 神戸市 灘区","","***","972","984","192"
"1980年度","兵庫県 神戸市 兵庫区","","***","1,251","871","230"
"1980年度","兵庫県 神戸市 長田区","","***","1,316","868","255"
"1980年度","兵庫県 神戸市 須磨区","","***","833","925","181"
"1980年度","兵庫県 神戸市 垂水区","","***","1,426","2,125","340"
"1980年度","兵庫県 神戸市 北区","","***","811","996","210"
"1980年度","兵庫県 神戸市 中央区","","***","905","777","229"
"1980年度","兵庫県 姫路市","","***","3,186","3,266","604"
"1980年度","兵庫県 尼崎市","","***","2,766","3,979","796"
"1980年度","兵庫県 明石市","","***","1,278","1,755","284"
"1980年度","兵庫県 西宮市","","***","2,041","2,952","451"
"1980年度","兵庫県 洲本市","","***","546","292","37"
"1980年度","兵庫県 芦屋市","","***","449","670","96"
"1980年度","兵庫県 伊丹市","","***","726","1,296","203"
"1980年度","兵庫県 相生市","","***","318","258","50"
"1980年度","兵庫県 豊岡市","","***","837","471","74"
"1980年度","兵庫県 加古川市","","***","1,058","1,214","208"
"1980年度","兵庫県 赤穂市","","***","373","331","29"
"1980年度","兵庫県 西脇市","","***","325","256","37"
"1980年度","兵庫県 宝塚市","","***","835","1,182","190"
"1980年度","兵庫県 三木市","","***","485","439","48"
"1980年度","兵庫県 高砂市","","***","461","561","82"
"1980年度","兵庫県 川西市","","***","607","655","134"
"1980年度","兵庫県 小野市","","***","269","265","22"
"1980年度","兵庫県 三田市","","***","279","197","33"
"1980年度","兵庫県 加西市","","***","398","306","31"
"1980年度","兵庫県 篠山市","","***","459","192","26"
"1980年度","兵庫県 養父市","","***","325","167","17"
"1980年度","兵庫県 丹波市","","***","743","457","40"
"1980年度","兵庫県 南あわじ市","","***","572","338","40"
"1980年度","兵庫県 朝来市","","***","351","224","26"
"1980年度","兵庫県 淡路市","","***","627","297","27"
"1980年度","兵庫県 宍粟市","","***","454","303","36"
"1980年度","兵庫県 加東市","","***","289","194","22"
"1980年度","兵庫県 たつの市","","***","581","399","54"
"1980年度","兵庫県 猪名川町","","***","60","43","11"
"1980年度","兵庫県 多可町","","***","229","151","10"
"1980年度","兵庫県 稲美町","","***","162","146","18"
"1980年度","兵庫県 播磨町","","***","119","180","31"
"1980年度","兵庫県 市川町","","***","129","97","11"
"1980年度","兵庫県 福崎町","","***","142","80","15"
"1980年度","兵庫県 神河町","","***","138","84","8"
"1980年度","兵庫県 太子町","","***","155","134","19"
"1980年度","兵庫県 上郡町","","***","165","108","18"
"1980年度","兵庫県 佐用町","","***","325","135","14"
"1980年度","兵庫県 香美町","","***","296","149","14"
"1980年度","兵庫県 新温泉町","","***","225","108","12"
